text,time,label
"Equally, though, the conceit that underlay Asterix would have been nothing without Uderzo. The challenge was to portray the age of Julius Caesar in a way that was true to the history and yet an utterly joyous recalibration of it. Brutality had to be portrayed as knockabout; a world of mud and gore and fire repainted in primary colours. Uderzo, who was colour blind, much preferred the clear line to any hint of shade, and it was that that enabled his drawings to redefine antiquity so distinctively in his own terms.",2020-09-21T00:59:59.000Z,included
"And sure enough, if they tune in to the upcoming Rugby World Cup in Japan, they will see many large players on the field. There are the wide bodies, the 275-pound-or-so prop forwards like Sekope Kepu of Australia, Charlie Faumuina of New Zealand or Steven Kitshoff of South Africa. Then there are the tall timber guys - most often in the lock position - like the 6-foot-10 Rory Arnold of Australia, his 6-foot-8 teammate Adam Coleman, or Brodie Retallick of New Zealand and Eben Etzebeth of South Africa, also both 6-foot-8, and quite a few others who look like they would be comfortable in the N.B.A.",2020-09-21T08:59:59.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2020-09-21T23:59:59.000Z,included
"The artist Christo, known for wrapping buildings including Berlin's Reichstag, and also swathing areas of coast and entire islands in fabric, has died aged 84. The news was confirmed on his official Facebook page, which said that he died of natural causes at his home in New York.",2020-09-23T08:59:59.000Z,included
"Even by his own high standards Lewis Hamilton set a new benchmark in 2019. In a class of his own, his sixth championship was defined by opening with an almost crushing, relentless run that all but had the job done by the summer break. After Valtteri Bottas started strongly and the teammates shared two wins apiece, Hamilton found another plane. Four from four followed including harassing Sebastian Vettel into an error in Canada, a tyre management masterclass in Monaco and a clinical, precision dissection in France where he finished 18 seconds ahead.",2020-09-23T08:59:59.000Z,included
"But the streamer in the panel is far from a big-time broadcaster. Known as Michael ""mmDust"" Duarte, he is a Twitch affiliate known for speed running Resident Evil 7 who currently holds world records for beating the game as quickly as possible. Since the panel, mmDust initially doubled down on his comments, only to joke about them and eventually apologize in a Twitlonger.",2020-09-23T10:59:59.000Z,included
"The study is the work of researchers at Nottingham University's School of Medicine who focused on chemicals known as antigens. These are produced by cancer cells and trigger an immune response inside humans. In particular, they cause our bodies to make auto-antibodies that target and try to block those invading antigens. Researchers wanted to know if they could detect the presence of specific auto-antibodies in patients and show whether they had been triggered by antigens from tumour cells.",2020-09-23T11:59:59.000Z,included
"The hunt began Jan. 10, when Chinese scientists posted the genetic makeup of the virus on a public database. The next morning, researchers at the National Institutes of Health's Vaccine Research Center in Maryland went to work. Within hours, they had pinpointed the letters of the genetic code that could be used to make a vaccine. Historically, vaccines have been one of the greatest public health tools to prevent disease. But even as technology, genomics and global coordination have improved, allowing researchers to move at top speed, vaccine development remains an expensive and risky process.",2020-09-23T11:59:59.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2020-09-23T13:59:58.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2020-09-23T14:59:59.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2020-09-23T17:59:58.000Z,included
"The study is the work of researchers at Nottingham University's School of Medicine who focused on chemicals known as antigens. These are produced by cancer cells and trigger an immune response inside humans. In particular, they cause our bodies to make auto-antibodies that target and try to block those invading antigens. Researchers wanted to know if they could detect the presence of specific auto-antibodies in patients and show whether they had been triggered by antigens from tumour cells.",2020-09-23T17:59:59.000Z,included
"EA will start releasing games on Steam again, after it moved away from the popular PC game marketplace in 2011 in favor of its Origin store and launcher. It'll start with Star Wars Jedi: Fallen Order, making it the first new EA game released on Steam since 2011. Additionally, EA announced plans to bring its EA Access subscription service to Steam starting next year, allowing players to pay a monthly price for access to a collection of EA games through Steam.",2020-09-23T17:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2020-09-23T18:59:57.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2020-09-23T18:59:58.000Z,included
"That's setting a very high bar, and, for now, I'm not sure Alyx clears it. The game is fighting VR's inherent hardware limits, a pandemic-related headset shortage, and the difficulty of building a game for a new platform. While it's about as long as the landmark Half-Life 2, with my game clocking in at 15 hours, it doesn't feel as big or as narratively and mechanically fresh. It advances the series's main plot, but it doesn't come close to resolving it.",2020-09-23T19:59:58.000Z,included
"The hunt began Jan. 10, when Chinese scientists posted the genetic makeup of the virus on a public database. The next morning, researchers at the National Institutes of Health's Vaccine Research Center in Maryland went to work. Within hours, they had pinpointed the letters of the genetic code that could be used to make a vaccine. Historically, vaccines have been one of the greatest public health tools to prevent disease. But even as technology, genomics and global coordination have improved, allowing researchers to move at top speed, vaccine development remains an expensive and risky process.",2020-09-23T19:59:59.000Z,included
"No sport is more often used to tell the story of America than baseball. Yet Marcenia Lyle Stone, known as Toni, who became the first woman ever to play big-league professional baseball when she took the field as a second baseman for the Negro Leagues' Indianapolis Clowns in 1953, has largely been relegated to a footnote in history: one in a long list of African-American women who endured hardships, overcame discrimination and helped shape the nation only to be shoved aside, their contributions minimized.",2020-09-24T00:59:57.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2020-09-24T01:59:58.000Z,included
"Dr. Fauci and Dr. Birx showed charts indicating that coronavirus cases in New York and New Jersey had risen far higher than in other parts of the country, a fact that they said gave them hope that the overall number of deaths might be lower if people in the rest of the states followed the guidelines for at least the next month. Mr. Trump displayed none of the carefree dismissiveness that characterized his reaction to the virus in February and early March, when he repeatedly said that ""we have it totally under control"" and that ""it's going to be just fine.""",2020-09-24T02:59:58.000Z,included
"Malek told the Guardian that taking the role was a ""kind of the gun-to-the-head moment"". ""What do you do? … The scariest endeavours that I've chosen to take in my life have been the most fulfilling and rewarding. And this has proven to defend that equation."" His rise to Oscar glory has been meteoric. Before Bohemian Rhapsody, Malek was best known for the lead role of the hit TV series Mr Robot. As ""vigilante hacker"" Elliot Alderson who is dealing with a social anxiety disorder, Malek starred alongside Christian Slater and won an Emmy for best actor in a drama series in 2016.",2020-09-24T02:59:59.000Z,included
"The outcome in Brussels today signals a tough road ahead to secure commitments on climate action not only from European nations, but from other big polluters as well. New president of the European Commission Ursula von der Leyen just released the EU's Green Deal on December 11, a sweeping package of policy proposals aimed at drastically reducing emissions by 2050. Her announcement followed the November declaration by the European Parliament of a ""climate emergency"" - a phrase that activists with Greenpeace hung from the building where the Council met in Brussels.",2020-09-24T07:59:59.000Z,excluded
"When the latest instalment in Microsoft's decades-old Flight Simulator series was first shown at the E3 video game event last year, it drew gasps from the audience. Using two petabytes of geographic data culled from Bing Maps, together with cutting-edge, machine learning algorithms running on the company's Azure cloud computing network, the game presents a near-photorealistic depiction of the entire planet.",2020-09-24T07:59:59.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2020-09-24T17:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2020-09-25T01:59:59.000Z,included
"The superhero film, which Coogler co-wrote with Joe Robert Cole, had already outsold Captain America: Civil War to become Marvel's most-preordered film in its first 24 hours after release. In Black Panther, T'Challa, played by Chadwick Boseman, returns home as king to a fictional African nation known as Wakanda, but finds his rule challenged by a long-time adversary in a conflict that has global consequences.",2020-09-28T07:59:59.000Z,included
"Malek told the Guardian that taking the role was a ""kind of the gun-to-the-head moment"". ""What do you do? … The scariest endeavours that I've chosen to take in my life have been the most fulfilling and rewarding. And this has proven to defend that equation."" His rise to Oscar glory has been meteoric. Before Bohemian Rhapsody, Malek was best known for the lead role of the hit TV series Mr Robot. As ""vigilante hacker"" Elliot Alderson who is dealing with a social anxiety disorder, Malek starred alongside Christian Slater and won an Emmy for best actor in a drama series in 2016.",2020-10-06T22:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2020-12-13T16:59:59.000Z,included
"EA will start releasing games on Steam again, after it moved away from the popular PC game marketplace in 2011 in favor of its Origin store and launcher. It'll start with Star Wars Jedi: Fallen Order, making it the first new EA game released on Steam since 2011. Additionally, EA announced plans to bring its EA Access subscription service to Steam starting next year, allowing players to pay a monthly price for access to a collection of EA games through Steam.",2020-12-21T14:59:59.000Z,included
"EA will start releasing games on Steam again, after it moved away from the popular PC game marketplace in 2011 in favor of its Origin store and launcher. It'll start with Star Wars Jedi: Fallen Order, making it the first new EA game released on Steam since 2011. Additionally, EA announced plans to bring its EA Access subscription service to Steam starting next year, allowing players to pay a monthly price for access to a collection of EA games through Steam.",2021-01-27T17:59:59.000Z,included
"The outcome in Brussels today signals a tough road ahead to secure commitments on climate action not only from European nations, but from other big polluters as well. New president of the European Commission Ursula von der Leyen just released the EU's Green Deal on December 11, a sweeping package of policy proposals aimed at drastically reducing emissions by 2050. Her announcement followed the November declaration by the European Parliament of a ""climate emergency"" - a phrase that activists with Greenpeace hung from the building where the Council met in Brussels.",2021-02-22T00:59:59.000Z,included
"Archie Cochrane, the doyen of evidence-based medicine, said we should ask three questions of any intervention: can it work, does it work and is it worth it? The relative risk reduction you quote tells us of population benefit and answers the first two questions, but it is the absolute risk reduction that answers the ""is it worth it?""question. Many patients would be reluctant to take a tablet if told there was a greater than 97% chance that they would derive no benefit from taking it over five years and it had no positive effect on their length of life.",2021-03-03T15:59:59.000Z,included
"It seems every year there is huge growth in women's sport. Each new year brings bigger crowd figures, new competitions, increased television coverage and new records being set. But as the nation took to social media to share in the emotion of Phillips' anterior cruciate ligament injury, it was clear there was another, less quantifiable, factor at play. Earlier this month, journalist Isabelle Westbury faced backlash on Twitter when she was critical of the criteria for Britain's Sports Personality of the Year award.",2021-03-16T07:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2021-03-19T12:59:59.000Z,included
"TheThe moment I fully grasped the danger of my situation in the opening few hours of Cyberpunk 2077, I had just opted to take a hit of a particularly dodgy illegal substance. The drug came from a junkie gangster with a spider-like face full of red cybernetic eyes. His name, he insisted, was Dum Dum. As a street kid, my chosen ""life path"" in the game, I recognized the name of the aerosolized adrenaline-booster and was able to chat cordially with our frightening host about it. Had I come from a corporate background or been a wandering nomad type passing through Night City, I might not have known.",2021-04-11T05:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2021-04-24T04:59:59.000Z,included
"The flight represents a breakthrough in ""ionic wind"" technology, which uses a powerful electric field to generate charged nitrogen ions, which are then expelled from the back of the aircraft, generating thrust. Steven Barrett, an aeronautics professor at MIT and the lead author of the study published in the journal Nature, said the inspiration for the project came straight from the science fiction of his childhood. ""I was a big fan of Star Trek, and at that point I thought that the future looked like it should be planes that fly silently, with no moving parts – and maybe have a blue glow.""",2021-04-24T08:59:59.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2021-05-04T15:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2021-05-20T06:59:59.000Z,included
"Following biochar's recognition in the IPCC 2018 report, earlier this year Redmile-Gordon launched the society's first trials to see how the material could improve plant growth. He estimates planting 10-20kg of biochar in your garden could offset the carbon from a five-mile return commute in a car for a month. Biochar is a form of charcoal produced when organic matter – for example wood, leaves or dead plants – is heated at high temperatures with little or no oxygen in a process called pyrolysis. The normal burning or decomposition of these materials would release large amounts of methane and carbon dioxide into the atmosphere. Instead, creating biochar traps this carbon in solid form for centuries; it becomes a carbon sink that can be buried underground.",2021-05-24T04:59:59.000Z,included
"GOES-17 went up to work with GOES-16, another NOAA weather satellite that was launched in 2016. The two probes, which are part of the so-called GOES-R series, are able to scan most of the Western Hemisphere from the coast of Africa all the way to New Zealand. Their observations from 22,300 miles (almost 36,000 kilometers) above Earth are key to monitor hurricanes, droughts, wildfires, lighting, and fog. The two spacecraft also provide us with stunning views of our planet.",2021-06-11T09:59:59.000Z,included
"The hunt began Jan. 10, when Chinese scientists posted the genetic makeup of the virus on a public database. The next morning, researchers at the National Institutes of Health's Vaccine Research Center in Maryland went to work. Within hours, they had pinpointed the letters of the genetic code that could be used to make a vaccine. Historically, vaccines have been one of the greatest public health tools to prevent disease. But even as technology, genomics and global coordination have improved, allowing researchers to move at top speed, vaccine development remains an expensive and risky process.",2021-06-15T14:59:59.000Z,included
"The books chosen by the panel are those that have made a personal impact on them, and are divided into 10 categories. These include ""love, sex and romance"", which features titles ranging from Jilly Cooper's Rivals to Judy Blume's Forever; ""identity"", which moves from Toni Morrison's Beloved to Zadie Smith's White Teeth; and ""adventure"", which includes Philip Pullman's His Dark Materials, Walter Scott's Ivanhoe and Raymond Chandler's The Big Sleep.",2021-07-10T18:59:59.000Z,included
"It seems every year there is huge growth in women's sport. Each new year brings bigger crowd figures, new competitions, increased television coverage and new records being set. But as the nation took to social media to share in the emotion of Phillips' anterior cruciate ligament injury, it was clear there was another, less quantifiable, factor at play. Earlier this month, journalist Isabelle Westbury faced backlash on Twitter when she was critical of the criteria for Britain's Sports Personality of the Year award.",2021-08-21T19:59:59.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2021-08-25T19:59:59.000Z,included
"The outcome in Brussels today signals a tough road ahead to secure commitments on climate action not only from European nations, but from other big polluters as well. New president of the European Commission Ursula von der Leyen just released the EU's Green Deal on December 11, a sweeping package of policy proposals aimed at drastically reducing emissions by 2050. Her announcement followed the November declaration by the European Parliament of a ""climate emergency"" - a phrase that activists with Greenpeace hung from the building where the Council met in Brussels.",2021-08-25T23:59:59.000Z,included
"Equally, though, the conceit that underlay Asterix would have been nothing without Uderzo. The challenge was to portray the age of Julius Caesar in a way that was true to the history and yet an utterly joyous recalibration of it. Brutality had to be portrayed as knockabout; a world of mud and gore and fire repainted in primary colours. Uderzo, who was colour blind, much preferred the clear line to any hint of shade, and it was that that enabled his drawings to redefine antiquity so distinctively in his own terms.",2021-08-27T19:59:59.000Z,included
"Equally, though, the conceit that underlay Asterix would have been nothing without Uderzo. The challenge was to portray the age of Julius Caesar in a way that was true to the history and yet an utterly joyous recalibration of it. Brutality had to be portrayed as knockabout; a world of mud and gore and fire repainted in primary colours. Uderzo, who was colour blind, much preferred the clear line to any hint of shade, and it was that that enabled his drawings to redefine antiquity so distinctively in his own terms.",2021-09-03T10:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2021-09-16T14:59:59.000Z,included
"Rocket League is changing in a big way. Today, developer Psyonix announced that, later this summer, the multiplayer cars-meets-soccer game will be going free-to-play. Additionally, the game will get cross-platform progression, covering elements like cosmetic items, battle pass progression, and competitive rank.",2021-09-17T15:59:59.000Z,included
"It seems every year there is huge growth in women's sport. Each new year brings bigger crowd figures, new competitions, increased television coverage and new records being set. But as the nation took to social media to share in the emotion of Phillips' anterior cruciate ligament injury, it was clear there was another, less quantifiable, factor at play. Earlier this month, journalist Isabelle Westbury faced backlash on Twitter when she was critical of the criteria for Britain's Sports Personality of the Year award.",2021-09-18T06:59:59.000Z,included
"Dr. Fauci and Dr. Birx showed charts indicating that coronavirus cases in New York and New Jersey had risen far higher than in other parts of the country, a fact that they said gave them hope that the overall number of deaths might be lower if people in the rest of the states followed the guidelines for at least the next month. Mr. Trump displayed none of the carefree dismissiveness that characterized his reaction to the virus in February and early March, when he repeatedly said that ""we have it totally under control"" and that ""it's going to be just fine.""",2021-09-19T00:59:59.000Z,included
"Despite the benign assessment of the medical establishment, Dr. Curry's flawed reports were amplified by alarmist websites, prompted articles linking cellphones to brain cancer and served as evidence in lawsuits urging the removal of wireless classroom technology. In time, echoes of his reports fed Russian news sites noted for stoking misinformation about 5G technology. What began as a simple graph became a case study in how bad science can take root and flourish. ""I still think there are health effects,"" Dr. Curry said in an interview. ""The federal government needs to look at it more closely.""",2021-09-21T18:59:59.000Z,included
"But the streamer in the panel is far from a big-time broadcaster. Known as Michael ""mmDust"" Duarte, he is a Twitch affiliate known for speed running Resident Evil 7 who currently holds world records for beating the game as quickly as possible. Since the panel, mmDust initially doubled down on his comments, only to joke about them and eventually apologize in a Twitlonger.",2021-09-22T19:59:59.000Z,included
"Richard Lewis, the outgoing chief executive of Wimbledon, hopes tennis can be ""off and running again"" by August, when the US Open is scheduled to begin, although he admits there may be ""no more tennis this year"". Speaking the day after the All England Club finally cancelled the championships for the first time since the second world war, Lewis acknowledged that uncertainty has gripped tennis because of the continued spread of coronavirus.",2021-09-23T04:59:59.000Z,included
"The outcome in Brussels today signals a tough road ahead to secure commitments on climate action not only from European nations, but from other big polluters as well. New president of the European Commission Ursula von der Leyen just released the EU's Green Deal on December 11, a sweeping package of policy proposals aimed at drastically reducing emissions by 2050. Her announcement followed the November declaration by the European Parliament of a ""climate emergency"" - a phrase that activists with Greenpeace hung from the building where the Council met in Brussels.",2021-09-23T07:59:59.000Z,included
"The annual Forbes Celebrity 100 list also saw soccer stars Lionel Messi, Cristiano Ronaldo and Neymar among the top 10, along with British singer-songwriter Ed Sheeran and 1970s soft rock band the Eagles, who embarked on a new tour in 2018. West, the husband of Kim Kardashian, returned to the list after a four-year absence. Forbes estimated his pre-tax earnings at $150m, driven mostly by his popular Yeezy sneaker line, putting him in third place. Kim Kardashian ranked No 26 on the list.",2021-09-23T09:59:59.000Z,included
"Agüero's latest goal puts him alongside Alan Shearer in one respect. They are the only two players in the Premier League era to score 20 times or more in six different seasons. Yet the more important detail relates to what that goal means for the title race on a day when the supporters of Liverpool, an hour into the game, might have dared to think the momentum was about to swing dramatically their way.",2021-09-23T13:59:59.000Z,included
